constellation,no_of_satellites,no_of_launches,climate_change_baseline_kg,climate_change_worst_case_kg,ozone_depletion_baseline_kg,ozone_depletion_worst_case_kg,resource_depletion_kg,freshwater_toxicity_m3,human_toxicity,subscribers,subscriber_scenario,impact_category,rocket_detailed,scenario,status,representative_of,rocket_type,annual_baseline_emission_kg,annual_worst_case_emission_kg
starlink,4425,127,80069199.17040001,3394577785.38,868321.86,3907448.37,0,0,0,2500000,subscribers_low,launch_event,falcon9,scenario1,Historical,Modeled,hydrocarbon,16013839.834080001,678915557.076
oneweb,394,14,4041171.5344000002,168440120.66,44199.96,194211.5,0,0,0,500000,subscribers_low,launch_event,soyuz,scenario1,Historical,Modeled,hydrocarbon,808234.30688,33688024.132
oneweb,180,5,3152330.676,133644794.7,34185.9,153836.55000000002,0,0,0,500000,subscribers_low,launch_event,falcon9,scenario1,Historical,Modeled,hydrocarbon,630466.1352,26728958.94
oneweb,72,2,935633.6,215286686.4,173457.2,422167.2,0,0,0,500000,subscribers_low,launch_event,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,187126.72,43057337.28
kuiper,648,18,8420702.4,1937580177.6000001,1561114.8,3799504.8000000003,0,0,0,1500000,subscribers_low,launch_event,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,1684140.48,387516035.52000004
kuiper,972,27,12408136.8048,523265347.61999995,134923.32,602634.0599999999,0,0,0,1500000,subscribers_low,launch_event,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,2481627.36096,104653069.52399999
kuiper,1368,38,17463303.6512,736447526.28,189892.08,848151.6399999999,0,0,0,1500000,subscribers_low,launch_event,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,3492660.73024,147289505.25599998
kuiper,108,3,1891398.4056000002,80186876.82000001,20511.54,92301.93000000001,0,0,0,1500000,subscribers_low,launch_event,falcon9,scenario1,scenario,Representative,hydrocarbon,378279.68112,16037375.364000002
kuiper,72,2,919121.2448,38760396.12,9994.32,44639.56,0,0,0,1500000,subscribers_low,launch_event,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,183824.24896,7752079.223999999
kuiper,72,2,935633.6,215286686.4,173457.2,422167.2,0,0,0,1500000,subscribers_low,launch_event,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,187126.72,43057337.28
geo_generic,10,10,4595606.223999999,193801980.6,49971.6,223197.8,0,0,0,1500000,subscribers_low,launch_event,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,306373.7482666666,12920132.04
geo_generic,9,9,4210351.2,968790088.8000001,780557.4,1899752.4000000001,0,0,0,1500000,subscribers_low,launch_event,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,280690.08,64586005.92
starlink,4425,127,59412733.6,13670704586.4,11014532.200000001,26807617.2,0,0,0,2500000,subscribers_low,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrogen,11882546.72,2734140917.2799997
oneweb,648,21,9824152.799999999,2260510207.2000003,1821300.6,4432755.600000001,0,0,0,500000,subscribers_low,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrogen,1964830.5599999998,452102041.44000006
kuiper,3236,90,42103512.0,9687900888.0,7805574.000000001,18997524.0,0,0,0,1500000,subscribers_low,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrogen,8420702.4,1937580177.6
geo_generic,19,19,8888519.2,2045223520.8,1647843.4000000001,4010588.4,0,0,0,1500000,subscribers_low,launch_event,unknown_hyg,scenario2,scenario,Representative,hydrogen,592567.9466666667,136348234.72
starlink,4425,127,58364199.0448,2461285153.62,634639.32,2834612.06,0,0,0,2500000,subscribers_low,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrocarbon,11672839.80896,492257030.724
oneweb,648,21,9650773.0704,406984159.26,104940.36,468715.38,0,0,0,500000,subscribers_low,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrocarbon,1930154.61408,81396831.852
kuiper,3236,90,41360456.016,1744217825.3999999,449744.39999999997,2008780.2,0,0,0,1500000,subscribers_low,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrocarbon,8272091.2032,348843565.08
geo_generic,19,19,8731651.8256,368223763.14,94946.04,424075.81999999995,0,0,0,1500000,subscribers_low,launch_event,unknown_hyc,scenario3,scenario,Representative,hydrocarbon,582110.1217066667,24548250.876
starlink,4425,127,522418806.189,522418806.189,35.239771278,35.239771278,226483.813986,2572207408.28,192.44412362,2500000,subscribers_low,launcher_production,falcon9,scenario1,Historical,Modeled,hydrocarbon,104483761.2378,104483761.2378
oneweb,394,14,625525781.7199999,625525781.7199999,43.56544822,43.56544822,174627.72040000002,3929855027.0,267.9057766,500000,subscribers_low,launcher_production,soyuz,scenario1,Historical,Modeled,hydrocarbon,125105156.34399998,125105156.34399998
oneweb,180,5,20567669.535,20567669.535,1.38739257,1.38739257,8916.68559,101268008.2,7.5765403,500000,subscribers_low,launcher_production,falcon9,scenario1,Historical,Modeled,hydrocarbon,4113533.907,4113533.907
oneweb,72,2,22037510.96,22037510.96,1.491470102,1.491470102,5439.451374,139470074.96,9.170770758,500000,subscribers_low,launcher_production,lvm3_hydrogen,scenario1,Historical,Representative,hydrogen,4407502.192,4407502.192
kuiper,648,18,198337598.64000002,198337598.64000002,13.423230918000002,13.423230918000002,48955.062366,1255230674.64,82.536936822,1500000,subscribers_low,launcher_production,ariane_6_hydrogen,scenario1,scenario,Representative,hydrogen,39667519.728,39667519.728
kuiper,972,27,658718282.88,658718282.88,45.755499294,45.755499294,192466.06722,1882846011.96,278.79437196,1500000,subscribers_low,launcher_production,glenn_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,131743656.576,131743656.576
kuiper,1368,38,927084990.72,927084990.72,64.396628636,64.396628636,270878.16868,2649931424.2400002,392.37726424,1500000,subscribers_low,launcher_production,vulcan_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,185416998.144,185416998.144
kuiper,108,3,12340601.721,12340601.721,0.832435542,0.832435542,5350.011354,60760804.92,4.54592418,1500000,subscribers_low,launcher_production,falcon9,scenario1,scenario,Representative,hydrocarbon,2468120.3442,2468120.3442
kuiper,72,2,48793946.88,48793946.88,3.389296244,3.389296244,14256.74572,139470074.96,20.65143496,1500000,subscribers_low,launcher_production,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,9758789.376,9758789.376
kuiper,72,2,22037510.96,22037510.96,1.491470102,1.491470102,5439.451374,139470074.96,9.170770758,1500000,subscribers_low,launcher_production,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,4407502.192,4407502.192
geo_generic,10,10,243969734.4,243969734.4,16.94648122,16.94648122,71283.7286,697350374.8000001,103.2571748,1500000,subscribers_low,launcher_production,unknown_hydrocarbon,scenario1,scenario,Representative,hydrocarbon,16264648.96,16264648.96
geo_generic,9,9,99168799.32000001,99168799.32000001,6.711615459000001,6.711615459000001,24477.531183,627615337.32,41.268468411,1500000,subscribers_low,launcher_production,unknown_hydrogen,scenario1,scenario,Representative,hydrogen,6611253.288000001,6611253.288000001
starlink,4425,127,1399381945.96,1399381945.96,94.70835147700001,94.70835147700001,345405.162249,8856349759.960001,582.343943133,2500000,subscribers_low,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrogen,279876389.19200003,279876389.19200003
oneweb,648,21,231393865.08,231393865.08,15.660436071000001,15.660436071000001,57114.239427,1464435787.0800002,96.29309295899999,500000,subscribers_low,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrogen,46278773.016,46278773.016
kuiper,3236,90,991687993.2,991687993.2,67.11615459000001,67.11615459000001,244775.31183000002,6276153373.200001,412.68468411,1500000,subscribers_low,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrogen,198337598.64000002,198337598.64000002
geo_generic,19,19,209356354.12,209356354.12,14.168965969,14.168965969,51674.788053000004,1324965712.1200001,87.122322201,1500000,subscribers_low,launcher_production,unknown_hyg,scenario2,scenario,Representative,hydrogen,13957090.274666667,13957090.274666667
starlink,4425,127,3098415626.88,3098415626.88,215.22031149400001,215.22031149400001,905303.35322,8856349759.960001,1311.3661199599999,2500000,subscribers_low,launcher_production,unknown_hyc,scenario3,scenario,Representative,hydrocarbon,619683125.376,619683125.376
