scenario,constellation,iteration,number_of_satellites,satellite_coverage_area,pop_density_km2,users_per_km2,active_users_km2,per_user_capacity
baseline,OneWeb,0,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,1,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,2,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,3,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,4,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,5,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,6,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,7,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,8,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,9,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,10,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,11,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,12,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,13,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,14,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,15,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,16,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,17,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,18,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,19,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,20,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,21,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,22,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,23,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,24,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,25,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,26,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,27,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,28,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,29,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,30,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,31,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,32,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,33,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,34,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,35,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,36,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,37,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,38,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,39,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,40,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,41,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,42,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,43,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,44,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,45,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,46,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
baseline,OneWeb,47,720,708333.3333333334,0.1,0.1,0.005,1339.4732272941174
